Date	NVDAClose	Date	VGTClose
10/16/2017	4.94825	10/16/2017	156.949997
10/13/2017	4.86475	10/13/2017	156.529999
10/12/2017	4.77575	10/12/2017	155.820007
10/11/2017	4.7735	10/11/2017	155.699997
10/10/2017	4.72325	10/10/2017	155.070007
10/9/2017	4.63475	10/9/2017	154.970001
10/6/2017	4.5325	10/6/2017	154.630005
10/5/2017	4.51925	10/5/2017	154.160004
10/4/2017	4.52175	10/4/2017	152.720001
10/3/2017	4.48425	10/3/2017	152.809998
10/2/2017	4.475	10/2/2017	152.419998
9/29/2017	4.46925	9/29/2017	151.990005
9/28/2017	4.392	9/28/2017	151.039993
9/27/2017	4.39325	9/27/2017	150.820007
9/26/2017	4.299	9/26/2017	149.429993
9/25/2017	4.275	9/25/2017	148.940002
9/22/2017	4.475	9/22/2017	151
9/21/2017	4.519	9/21/2017	150.880005
9/20/2017	4.646	9/20/2017	151.729996
9/19/2017	4.68375	9/19/2017	152.490005
9/18/2017	4.68875	9/18/2017	151.970001
9/15/2017	4.50275	9/15/2017	151.809998
9/14/2017	4.235	9/14/2017	151.380005
9/13/2017	4.25925	9/13/2017	151.789993
9/12/2017	4.24025	9/12/2017	152.070007
9/11/2017	4.225	9/11/2017	151.800003
9/8/2017	4.09225	9/8/2017	149.559998
9/7/2017	4.1645	9/7/2017	150.759995
9/6/2017	4.14525	9/6/2017	150.059998
9/5/2017	4.14775	9/5/2017	149.830002
9/1/2017	4.2615	9/1/2017	151.110001
8/31/2017	4.236	8/31/2017	151.220001
8/30/2017	4.142	8/30/2017	150.110001
8/29/2017	4.1175	8/29/2017	148.729996
8/28/2017	4.12425	8/28/2017	148.130005
8/25/2017	4.09525	8/25/2017	147.75
8/24/2017	4.12975	8/24/2017	147.850006
8/23/2017	4.145	8/23/2017	147.869995
8/22/2017	4.06375	8/22/2017	148.139999
8/21/2017	3.97875	8/21/2017	145.990005
8/18/2017	4.0375	8/18/2017	146.160004
8/17/2017	4.03675	8/17/2017	146.199997
8/16/2017	4.12875	8/16/2017	149.160004
8/15/2017	4.1745	8/15/2017	148.649994
8/14/2017	4.21	8/14/2017	148.360001
8/11/2017	3.899	8/11/2017	146
8/10/2017	4.1185	8/10/2017	144.860001
8/9/2017	4.30275	8/9/2017	148.009995
8/8/2017	4.2575	8/8/2017	148.149994
8/7/2017	4.30875	8/7/2017	148.339996
8/4/2017	4.18025	8/4/2017	147.440002
8/3/2017	4.162	8/3/2017	147.229996
8/2/2017	4.10975	8/2/2017	147.639999
8/1/2017	4.11225	8/1/2017	147.440002
7/31/2017	4.06275	7/31/2017	146.660004
7/28/2017	4.10975	7/28/2017	147.399994
7/27/2017	4.0435	7/27/2017	147.610001
7/26/2017	4.1815	7/26/2017	148.960007
